;StructTreeRoot;Document;DocumentFragment;Part;Div;Art;Sect;TOC;TOCI;Aside;BlockQuote;NonStruct;Private;Title;Sub;P;Note;Code;Hn;H;Lbl;Em;Strong;Span;Quote;Link;Reference;Annot;Form;Ruby;RB;RT;RP;Warichu;WT;WP;FENote;Index;L;LI;LBody;BibEntry;Table;TR;TH;TD;THead;TBody;TFoot;Caption;Figure;Formula;Artifact
Document;1;0..n;0..n;‡;‡;∅;∅;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
DocumentFragment;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅;0..n
Part;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;0..n
Art;∅;0..n;0..n;‡;‡;∅;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;0..n;∅;0..1;0..1;∅;∅;∅;∅;∅;0..n;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;∅;0..n
Div;∅;0..n;0..n;‡;‡;0..n;0..n;∅;0..n;0..n;0..n;‡;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Sect;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;0..n;∅;0..1;0..1;∅;∅;∅;∅;∅;0..n;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;∅;0..n
TOC;∅;0..n;0..n;‡;‡;0..n;0..n;0..n;0..n;0..n;0..n;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
TOCI;∅;∅;∅;‡;‡;∅;∅;0..n;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
Aside;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;∅;∅;‡;0..n;0..n;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;0..n
BlockQuote;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;0..n
